"s1 | Dick Johnson Is Dead | United States | Movie | As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
"s2 | Blood & Water | South Africa | TV Show | After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
"s3 | Ganglands | nan | TV Show | To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
"s4 | Jailbirds New Orleans | nan | TV Show | Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
"s5 | Kota Factory | India | TV Show | In a city of coaching centers known to train Indiaâ€™s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
"s6 | Midnight Mass | nan | TV Show | The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
"s7 | My Little Pony: A New Generation | nan | Movie | Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â€” and, hoof to heart, sheâ€™s determined to prove it."
"s8 | Sankofa | United States, Ghana, Burkina Faso, United Kingdom | Movie | On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
"s9 | The Great British Baking Show | United Kingdom | TV Show | A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10 | The Starling | United States | Movie | A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â€” and a husband who's struggling to find a way forward.
"s11 | Vendetta: Truth, Lies and The Mafia | nan | TV Show | Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
"s12 | Bangkok Breaking | nan | TV Show | Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
"s13 | Je Suis Karl | Germany, Czech Republic | Movie | After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"s14 | Confessions of an Invisible Girl | nan | Movie | When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
s15 | Crime Stories: India Detectives | nan | TV Show | Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
"s16 | Dear White People | United States | TV Show | Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
"s17 | Europe's Most Dangerous Man: Otto Skorzeny in Spain | nan | Movie | Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
s18 | Falsa identidad | Mexico | TV Show | Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
"s19 | Intrusion | nan | Movie | After a deadly home invasion at a coupleâ€™s new dream house, the traumatized wife searches for answers â€” and learns the real danger is just beginning."
"s20 | Jaguar | nan | TV Show | In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
"s21 | Monsters Inside: The 24 Faces of Billy Milligan | nan | TV Show | In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
"s22 | Resurrection: Ertugrul | Turkey | TV Show | When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
"s23 | Avvai Shanmughi | nan | Movie | Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
"s24 | Go! Go! Cory Carson: Chrissy Takes the Wheel | nan | Movie | From arcade games to sled days and hiccup cures, Cory Carsonâ€™s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
"s25 | Jeans | India | Movie | When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
"s26 | Love on the Spectrum | Australia | TV Show | Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
s27 | Minsara Kanavu | nan | Movie | A tangled love triangle ensues when a man falls for a woman studying to become a nun â€” and she falls for the friend he enlists to help him pursue her.
"s28 | Grown Ups | United States | Movie | Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
"s29 | Dark Skies | United States | Movie | A familyâ€™s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
"s30 | Paranoia | United States, India, France | Movie | Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
"s31 | Ankahi Kahaniya | nan | Movie | As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
s32 | Chicago Party Aunt | nan | TV Show | Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â€” and a soft spot for her soul-searching nephew.
"s33 | Sex Education | United Kingdom | TV Show | Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
"s34 | Squid Game | nan | TV Show | Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â€” with deadly high stakes."
s35 | Tayo and Little Wizards | nan | TV Show | Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
"s36 | The Father Who Moves Mountains | nan | Movie | When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â€” and risk everything â€” to find him."
"s37 | The Stronghold | nan | Movie | Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
"s38 | Angry Birds | Finland | TV Show | Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
"s39 | Birth of the Dragon | China, Canada, United States | Movie | A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
"s40 | Chhota Bheem | India | TV Show | A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
s41 | He-Man and the Masters of the Universe | United States | TV Show | Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â€” and their destiny to defend Eternia from sinister Skeletor.
"s42 | Jaws | United States | Movie | When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
"s43 | Jaws 2 | United States | Movie | Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
"s44 | Jaws 3 | United States | Movie | After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
"s45 | Jaws: The Revenge | United States | Movie | After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there."
"s46 | My Heroes Were Cowboys | nan | Movie | Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
"s47 | Safe House | South Africa, United States, Japan | Movie | Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location."
"s48 | The Smart Money Woman | nan | TV Show | Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
s49 | Training Day | United States | Movie | A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
"s50 | Castle and Castle | Nigeria | TV Show | A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
"s51 | Dharmakshetra | India | TV Show | After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
"s52 | InuYasha the Movie 2: The Castle Beyond the Looking Glass | Japan | Movie | With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53 | InuYasha the Movie 3: Swords of an Honorable Ruler | Japan | Movie | The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
